"date","price"
"10.03.2021",45969.83629700157
"11.03.2021",46979.34120652177
"12.03.2021",48228.104397681615
"13.03.2021",47981.15078408417
"14.03.2021",51295.129601791945
"15.03.2021",49729.09033783585
"16.03.2021",46797.45622313987
"17.03.2021",47746.846623517624
"18.03.2021",49256.512604163196
"19.03.2021",48605.87962170269
"20.03.2021",48753.403312258655
"21.03.2021",48864.63909083903
"22.03.2021",48446.46372599024
"23.03.2021",45572.396859377
"24.03.2021",46114.717337839604
"25.03.2021",44461.5763385364
"26.03.2021",43661.54177461499
"27.03.2021",46661.08000365804
"28.03.2021",47338.79983985637
"29.03.2021",47277.492042457925
"30.03.2021",48973.897419841785
"31.03.2021",50043.81195360208
"01.04.2021",50151.45728919469
"02.04.2021",49928.270945521384
"03.04.2021",50218.97701397946
"04.04.2021",48523.656275506226
"05.04.2021",49486.91248560528
"06.04.2021",49682.814847849586
"07.04.2021",48900.66366778089
"08.04.2021",47281.06548137643
"09.04.2021",48727.12069323635
"10.04.2021",48864.797178312525
"11.04.2021",50398.64448369228
"12.04.2021",50399.53568851847
"13.04.2021",50284.5178056672
"14.04.2021",53178.647097858826
"15.04.2021",52411.35100225741
"16.04.2021",52786.19444052422
"17.04.2021",51323.24782597241
"18.04.2021",50303.90611604677
"19.04.2021",47007.348565006636
"20.04.2021",46274.2552812877
"21.04.2021",46775.796611886864
"22.04.2021",45015.6913673363
"23.04.2021",43252.75973491791
"24.04.2021",42311.972926691175
"25.04.2021",41442.08203123892
"26.04.2021",40507.65203218968
"27.04.2021",44682.359740713204
"28.04.2021",45484.93987625842
"29.04.2021",45166.2478587414
"30.04.2021",44204.7927866628
"01.05.2021",48112.22308787791
"02.05.2021",48097.49969239491
"03.05.2021",47047.72809852492
"04.05.2021",47437.639045229014
"05.05.2021",44498.3953336929
"06.05.2021",47831.061167924854
"07.05.2021",46834.930702231
"08.05.2021",47159.75662737094
"09.05.2021",48319.24375914842
"10.05.2021",47807.663043400964
"11.05.2021",46040.61343088081
"12.05.2021",46869.6229411901
"13.05.2021",41398.24254474846
"14.05.2021",41379.873284031484
"15.05.2021",41099.72887781225
"16.05.2021",38515.79282820282
"17.05.2021",38340.02021913021
"18.05.2021",36013.75689016597
"19.05.2021",35248.29953994585
"20.05.2021",30638.26648015515
"21.05.2021",33070.58223866926
"22.05.2021",30656.511792720983
"23.05.2021",30804.856177282665
"24.05.2021",28708.92522435034
"25.05.2021",31635.408235562976
"26.05.2021",31198.587508892317
"27.05.2021",32324.60180096094
"28.05.2021",31698.419437166936
"29.05.2021",29288.66616683931
"30.05.2021",28521.58120778627
"31.05.2021",29295.775354345686
"01.06.2021",30522.27123198109
"02.06.2021",30027.477592178227
"03.06.2021",30864.640712769786
"04.06.2021",32272.42993030655
"05.06.2021",30359.12157208613
"06.06.2021",29216.991986131867
"07.06.2021",29452.067894717016
"08.06.2021",27440.53777409875
"09.06.2021",27570.252986872085
"10.06.2021",30837.17457230786
"11.06.2021",30313.961492539092
"12.06.2021",30796.074479298466
"13.06.2021",29454.354802553098
"14.06.2021",32328.097054141635
"15.06.2021",33509.17021641341
"16.06.2021",33297.480950593825
"17.06.2021",31953.616857745903
"18.06.2021",32056.401062882385
"19.06.2021",30242.789411588816
"20.06.2021",29990.378583422844
"21.06.2021",30145.38780060708
"22.06.2021",26621.0916193509
"23.06.2021",27223.638287938353
"24.06.2021",28249.534234690953
"25.06.2021",29066.868589766123
"26.06.2021",26761.800017093286
"27.06.2021",26829.52521503754
"28.06.2021",28983.608117044798
"29.06.2021",28971.69618870384
"30.06.2021",30224.781348189197
"01.07.2021",29666.79698327795
"02.07.2021",28430.02889773983
"03.07.2021",28614.60562915703
"04.07.2021",29271.25492486721
"05.07.2021",29847.125818471657
"06.07.2021",28593.68153148542
"07.07.2021",28883.651585458185
"08.07.2021",28773.16071085125
"09.07.2021",27801.439907762073
"10.07.2021",28600.77528849874
"11.07.2021",28378.008032063994
"12.07.2021",28897.526279225858
"13.07.2021",28042.04748917543
"14.07.2021",27751.69332193362
"15.07.2021",27781.906662643505
"16.07.2021",26862.05636820544
"17.07.2021",26597.704175712755
"18.07.2021",26757.81584130571
"19.07.2021",27019.064728776128
"20.07.2021",26226.566990889827
"21.07.2021",25444.557801386036
"22.07.2021",27462.51506044665
"23.07.2021",27522.827801780495
"24.07.2021",28420.791906139315
"25.07.2021",29065.274268782403
"26.07.2021",30118.772391082897
"27.07.2021",31580.72989560286
"28.07.2021",33052.74145792045
"29.07.2021",33791.735530077036
"30.07.2021",33618.015409821426
"31.07.2021",35337.213308654
"01.08.2021",35185.108834989835
"02.08.2021",33642.254176771276
"03.08.2021",33078.25970590092
"04.08.2021",32323.880257639797
"05.08.2021",33576.49392403365
"06.08.2021",34497.488565061874
"07.08.2021",36387.7232934604
"08.08.2021",37956.602328260175
"09.08.2021",37239.93883874136
"10.08.2021",39460.632186737486
"11.08.2021",38939.633360931446
"12.08.2021",38875.879188645085
"13.08.2021",37911.83203789528
"14.08.2021",40450.6937026301
"15.08.2021",39917.974223778256
"16.08.2021",39872.50023881268
"17.08.2021",39077.83199502538
"18.08.2021",38036.8778909892
"19.08.2021",38450.500081775455
"20.08.2021",40026.55777674894
"21.08.2021",42045.94638941094
"22.08.2021",41821.86250481666
"23.08.2021",42110.299375596085
"24.08.2021",42165.7124724601
"25.08.2021",40787.86921404864
"26.08.2021",41628.23787378496
"27.08.2021",40174.93665846128
"28.08.2021",41612.065985470246
"29.08.2021",41487.80904561478
"30.08.2021",41454.780817063016
"31.08.2021",39944.26147825696
"01.09.2021",40076.72293800369
"02.09.2021",41232.73010842584
"03.09.2021",41553.12443377398
"04.09.2021",42020.05534808132
"05.09.2021",42086.114739444805
"06.09.2021",43495.171939260115
"07.09.2021",44422.20628211116
"08.09.2021",39682.01169849597
"09.09.2021",38993.97134770019
"10.09.2021",39341.11508045078
"11.09.2021",37933.91881493019
"12.09.2021",38254.443267590075
"13.09.2021",39111.689721798495
"14.09.2021",38219.89742132597
"15.09.2021",39936.81455039078
"16.09.2021",40765.22847406889
"17.09.2021",40694.440258159295
"18.09.2021",40279.433446296156
"19.09.2021",41162.40703382776
"20.09.2021",40393.2852387074
"21.09.2021",36613.3027229228
"22.09.2021",34450.920786363546
"23.09.2021",37289.741064236216
"24.09.2021",38301.99950518112
"25.09.2021",36476.23537376185
"26.09.2021",36566.96881604705
"27.09.2021",36970.84966552429
"28.09.2021",36116.58845503585
"29.09.2021",35093.8903892477
"30.09.2021",35846.490313929215
"01.10.2021",37893.01043345353
"02.10.2021",41557.78374076671
"03.10.2021",41209.22751892025
"04.10.2021",41585.59192897175
"05.10.2021",42401.73017505967
"06.10.2021",44557.01551434421
"07.10.2021",47957.58675930117
"08.10.2021",46624.21499486016
"09.10.2021",46685.92012261748
"10.10.2021",47644.16361341247
"11.10.2021",47309.189504608374
"12.10.2021",49829.92930569254
"13.10.2021",48855.32013234848
"14.10.2021",49571.43032080102
"15.10.2021",49564.270353381886
"16.10.2021",53285.00326113987
"17.10.2021",52730.34399634674
"18.10.2021",53090.078685127395
"19.10.2021",53397.47451637884
"20.10.2021",55472.53230284571
"21.10.2021",56825.696206537585
"22.10.2021",53799.469047971055
"23.10.2021",52412.42611041535
"24.10.2021",52887.94417523926
"25.10.2021",52556.497692425146
"26.10.2021",54458.46056819782
"27.10.2021",52262.991954543715
"28.10.2021",50556.63572895939
"29.10.2021",52002.50436352095
"30.10.2021",53873.09782238894
"31.10.2021",53487.37218986673
"01.11.2021",53178.45280097745
"02.11.2021",52688.79102842295
"03.11.2021",54624.71696358728
"04.11.2021",54360.79184021504
"05.11.2021",53315.56984068622
"06.11.2021",53021.12617582402
"07.11.2021",53379.49825887872
"08.11.2021",54588.325961012066
"09.11.2021",58358.42045735038
"10.11.2021",57914.295934630776
"11.11.2021",56635.64786126113
"12.11.2021",56786.13636865565
"13.11.2021",56302.785321924544
"14.11.2021",56502.27016189728
"15.11.2021",57377.20658942357
"16.11.2021",56257.04408566471
"17.11.2021",53407.81619393269
"18.11.2021",53543.87539173877
"19.11.2021",50120.349996755154
"20.11.2021",51792.97123234165
"21.11.2021",53231.47700213251
"22.11.2021",52442.84981369288
"23.11.2021",50150.63964576414
"24.11.2021",51358.946957902095
"25.11.2021",51049.32188463475
"26.11.2021",52548.07009976099
"27.11.2021",47551.04159462869
"28.11.2021",48174.372722504864
"29.11.2021",50701.97880015172
"30.11.2021",51223.98984043126
"01.12.2021",50310.23157858034
"02.12.2021",50506.910551023844
"03.12.2021",49974.160510668
"04.12.2021",47537.22107822653
"05.12.2021",43452.36627055587
"06.12.2021",43584.415787737744
"07.12.2021",44721.77431769078
"08.12.2021",44927.87083488738
"09.12.2021",44540.22385241009
"10.12.2021",42404.08890755657
"11.12.2021",41793.12466052318
"12.12.2021",43511.77863340992
"13.12.2021",44253.81209678298
"14.12.2021",41388.14895905966
"15.12.2021",42995.310483289984
"16.12.2021",43340.68766182639
"17.12.2021",42082.02893086878
"18.12.2021",41217.158638052446
"19.12.2021",41788.32035689083
"20.12.2021",41634.77613021395
"21.12.2021",41783.36287549383
"22.12.2021",43541.433860598554
"23.12.2021",43045.84892569251
"24.12.2021",44939.3894297034
"25.12.2021",44944.76575352705
"26.12.2021",44745.83981814187
"27.12.2021",44908.059189479805
"28.12.2021",44818.168111937994
"29.12.2021",42181.44257440689
"30.12.2021",40960.337931023954
"31.12.2021",41672.35465483228
"01.01.2022",40724.329875917916
"02.01.2022",42039.991125253684
"03.01.2022",41678.04823294517
